artist;song;duration_ms;year;tempo;genre;energy;key;loudness
Usher;Pop Ya Collar - Radio Edit;210813;2016;106.957;hip hop, pop, R&B;0.8;5;-3.944
T-Pain;Bartender (feat. Akon);238800;2007;104.987;hip hop, pop, R&B;0.394;8;-8.539
Kelis;Trick Me;206106;2003;107.17;pop, R&B, Dance/Electronic;0.72;1;-3.347
Miley Cyrus;See You Again;190453;2007;138.975;pop;0.911;9;-5.098
Post Malone;Psycho (feat. Ty Dolla $ign);221440;2018;140.06;hip hop;0.56;8;-8.094
Philip George;Wish You Were Mine - Radio Edit;177560;2014;123.002;pop, Dance/Electronic;0.832;7;-4.164
Jay Sean;Eyes On You - Radio Mix;190493;2004;96.525;hip hop, pop, R&B;0.672;7;-4.971
Take That;The Flood;289359;2010;100.631;pop;0.83;11;-6.077
Chingy;One Call Away;276800;2003;162.519;hip hop, pop, R&B;0.821;4;-5.926
Marshmello;Happier;214289;2018;100.015;pop, Dance/Electronic;0.792;5;-2.749
P!nk;Try;247906;2012;103.998;pop;0.628;2;-7.079
Ariana Grande;One Last Time;197266;2014;125.026;pop;0.593;8;-5.036
Bastille;Good Grief;206493;2016;120.041;pop, rock;0.758;1;-4.888
Mario Winans;I Don't Wanna Know (feat. Enya & P. Diddy) - 2016 Remaster;257333;2016;97.007;pop;0.515;11;-5.0
Taylor Swift;Bad Blood;200106;2015;170.16;pop;0.655;11;-7.388
Robin Thicke;Blurred Lines;263053;2013;120.0;pop, R&B;0.504;7;-7.707
Twista;Slow Jamz;316053;2004;145.115;hip hop, pop, R&B;0.733;2;-5.659
Jennifer Lopez;Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix;187840;2002;100.0;hip hop, pop, R&B;0.768;6;-5.448
Taylor Swift;Look What You Made Me Do;211853;2017;128.07;pop;0.709;9;-6.471
The-Dream;Rockin' That Shit;221920;2009;78.005;hip hop, pop, R&B;0.62;8;-4.865
Rich Boy;Throw Some D's;263920;2007;160.895;hip hop, pop;0.86;11;-5.181
Selena Gomez;Same Old Love;229080;2015;98.02;pop;0.593;11;-4.01
Pitbull;I Know You Want Me (Calle Ocho);237120;2009;127.045;hip hop, pop, latin;0.743;2;-5.995
Martin Solveig;Intoxicated - New Radio Mix;159693;2015;125.004;pop, Dance/Electronic;0.677;0;-4.023
Fitz and The Tantrums;HandClap;193253;2016;139.956;pop, rock;0.836;8;-3.004
J-Kwon;Tipsy - Club Mix;247106;2001;93.04;hip hop, pop;0.741;9;-5.827
KALEO;Way down We Go;219560;2015;81.663;rock, classical;0.578;10;-5.798
Ne-Yo;Closer;234360;2008;126.027;pop, R&B;0.745;4;-6.437
Travis Scott;SICKO MODE;312820;2018;155.008;hip hop, Dance/Electronic;0.73;8;-3.714
Jason Derulo;Trumpets;217306;2013;81.897;hip hop, pop;0.703;0;-4.884
Akon;Bananza (Belly Dancer);238493;2004;104.838;pop;0.699;10;-5.897
Waka Flocka Flame;No Hands (feat. Roscoe Dash & Wale);263773;2010;131.497;hip hop, pop;0.595;1;-6.366
Baha Men;Who Let The Dogs Out;198400;2000;129.221;R&B;0.887;0;-4.505
Outkast;Hey Ya!;235213;2003;79.526;hip hop, pop;0.974;4;-2.261
AJ Tracey;Ladbroke Grove;190537;2019;133.986;hip hop, Dance/Electronic;0.839;11;-9.447
Drake;Passionfruit;298940;2017;111.98;hip hop, pop, R&B;0.463;11;-11.377
Saweetie;My Type;126446;2019;105.038;hip hop, pop, R&B;0.811;2;-6.294
The Streets;Fit but You Know It;254266;2004;172.302;hip hop, Dance/Electronic;0.844;6;-1.729
JoJo;Too Little Too Late;223680;2006;83.001;hip hop, pop, R&B;0.823;6;-5.338
Foo Fighters;The Pretender;269373;2007;172.984;rock, metal;0.959;9;-4.04
Katy Perry;E.T.;229573;2012;151.684;pop;0.869;1;-5.252
Gesaffelstein;Lost in the Fire (feat. The Weeknd);202093;2019;100.966;Dance/Electronic;0.671;2;-12.21
Doja Cat;Juicy;202333;2019;170.037;pop;0.658;0;-2.61
Selena Gomez & The Scene;Naturally;202586;2009;132.612;pop, Dance/Electronic;0.902;10;-5.406
Daft Punk;Lose Yourself to Dance (feat. Pharrell Williams);353893;2013;100.163;hip hop, Dance/Electronic;0.659;10;-7.828
Savage Garden;Crash and Burn;281466;1999;102.03;pop;0.607;4;-8.458
Kygo;Stole the Show;223186;2016;100.034;pop, Dance/Electronic;0.635;8;-7.565
Bruno Mars;24K Magic;225983;2016;106.97;pop;0.803;1;-4.282
Offset;Ric Flair Drip (with Metro Boomin);172800;2017;100.007;hip hop, pop;0.428;9;-8.28
